,track_id,track_name,artist_name,release_date,danceability,energy,valence,tempo,duration_ms
186,6sWVwDSjW1ZtqGQc9WnjdW,Pain and Misery,The Teskey Brothers,2017-01-19,0.723,0.345,0.507,89.541,241187
187,6ITuEsxEy2qPhqMowdDAeI,Train in Vain - Remastered,The Clash,1979,0.761,0.722,0.966,122.764,194667
188,7i8hWVHtOCLK11Xlig60Pl,I Believe (When I Fall In Love It Will Be Forever),Stevie Wonder,1972-10-28,0.424,0.503,0.168,123.656,293067
189,50wUfuywqz928iSfprBlQs,Is It Any Wonder?,Durand Jones & The Indications,2016-07-01,0.539,0.38,0.399,136.932,276600
190,6AiLTwftiFAjGsnVDXBPnB,N17,The Saw Doctors,1991-05-01,0.463,0.875,0.755,136.313,276413
191,0h8pmQEibj5GUdMoaqrJnF,So Far Away - Full Version,Dire Straits,1985-05-13,0.698,0.473,0.694,114.453,308800
192,51wkKAO2sCWDPYVTA9C9FA,Thriller,Scott Bradlee's Postmodern Jukebox,2018-03-22,0.569,0.791,0.753,117.344,236313
193,6dAV47lfkoOzYyrx6B5Rt5,Heroes,Scott Bradlee's Postmodern Jukebox,2016-02-18,0.439,0.373,0.221,128.509,248560
194,28cxKZgALLO11In35bim3C,Tennessee Whiskey,Scott Bradlee's Postmodern Jukebox,2018-03-22,0.487,0.21,0.454,82.531,269000
195,1ZOdi9wDArTTRmG0hjbGlZ,Zombie,Scott Bradlee's Postmodern Jukebox,2018-03-22,0.397,0.204,0.129,138.448,287542
196,71auqopz4kjWAp5IvrVIsv,Good Times,Edie Brickell & New Bohemians,2002-01-01,0.525,0.445,0.498,167.009,190133
197,3u2s7Dppp5ID2MxKnqxFyh,Blinded by the Light,Manfred Mann's Earth Band,1976-08-27,0.456,0.696,0.508,142.156,428133
198,5LNiqEqpDc8TuqPy79kDBu,Edge of Seventeen - 2016 Remaster,Stevie Nicks,2016-11-04,0.591,0.804,0.658,111.457,329413
199,5tfJE0vgDHWLFCUpFuNpwa,Happiness,Jonathan Jeremiah,2011-01-01,0.534,0.575,0.494,88.97,181640
200,5ZPVQMYn6nD6KYY9U6lwVA,Someone New,Hozier,2014-11-06,0.604,0.53,0.582,92.018,222814
201,5cwN1htZyoWqZCc33f3RfE,The High Road,Broken Bells,2010-03-01,0.61,0.637,0.609,79.955,232200
202,5cKhVlFn0Kuq68V56lSLvW,Renegades,X Ambassadors,2015-06-30,0.526,0.862,0.528,90.052,195200
203,3W6TDna43DO3l8xOOLFd6b,"10,000 Emerald Pools",BØRNS,2015-10-16,0.565,0.59,0.589,139.985,174693
204,1hIjjERIhNQd66ShTbhNCw,Audience Of One,Cold War Kids,2010,0.612,0.681,0.579,88.195,182400
205,5mdooqkfMvf7LtIFKReUYg,Sky Full Of Song,Florence + The Machine,2018-04-12,0.533,0.32,0.291,98.036,226160
206,4Octvg6nyD0waldL13oCGW,Debra,Beck,1999-11-16,0.611,0.597,0.385,147.507,343359
